"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.0527300"	145.22	146.78	315.67	281.39	148.33	112.48	269.55	216.2	138.17	122.56	247.85	249.53
"PF3D7.0527600"	63.04	75.05	90.67	87.16	72.38	89.43	87.47	57.16	122.95	79.79	93.65	56.67
"PF3D7.0527900"	118.99	143.75	175.53	165.7	93.54	143.58	195.72	212.65	66.89	71.38	125.08	169.08
"PF3D7.0528100"	159.69	171.92	175.47	155.82	137.33	180.74	196.57	206.85	195.38	164.03	161.17	174.09
"PF3D7.0528200"	329.91	300.67	431.52	360.92	238.37	256.27	549.21	404.22	159.69	303.99	326.82	406.42
"PF3D7.0528300"	21.67	38.6	4.24	2.12	28.32	44.58	13.03	20.75	107.54	86.46	26.57	11.96
"PF3D7.0528400"	122.54	146.71	15.97	22.24	168.36	182.29	46.58	68.99	420.94	408.27	115.24	31.52
"PF3D7.0528600"	171.97	140.99	192.09	190.99	186.1	138.05	407.46	225.09	131.15	253.79	197.34	251.7
"PF3D7.0528700"	191.51	203.72	193.33	216.89	150.41	218.67	195.3	229.15	125.53	104.25	248.2	228.4
"PF3D7.0529000"	99.46	77.37	116.19	107.4	89.62	88.04	150.17	120.76	110.35	131.97	117.45	116.1
"PF3D7.0529500"	104.81	99.65	82.46	115.35	39.43	55.68	60.4	134.44	39.63	51	82.68	58.98
"PF3D7.0529900"	421.06	454.78	244.26	231.79	226.96	321.25	242.64	365.94	355.8	242.88	300.09	282.86
"PF3D7.0530000"	424.33	379.76	406.37	254.89	591.89	425.98	237.82	324.22	383.62	600.78	264.83	178.24
"PF3D7.0530100"	203.78	185.46	139.55	104.61	381.13	326.89	210.18	175.95	334.6	786.38	237.97	175.78
"PF3D7.0530600"	47.4	48.5	59.81	69.83	69.66	49	84.56	83.98	33.73	39.37	61.52	72.61
"PF3D7.0532100"	3445.03	4217.97	9987.93	13548	541.54	1008.53	4094.26	12448.5	2062.79	706.34	6938.4	12267.6
"PF3D7.0532200"	43.56	37.86	51.75	58.67	24.92	20.84	54.17	60.96	22.59	28.35	36.09	67.68
"PF3D7.0532400"	198.18	109.05	579.93	538.72	60.01	31.89	966.36	817.6	65.36	182.58	512.74	1000.19
"PF3D7.0532500"	43.49	4.18	109.14	65.08	8.61	7.23	66.29	33.41	15.88	22.24	22.24	71.99
"PF3D7.0532600"	27.33	5.27	70.06	68.27	23.06	2.25	150.03	82.09	0	3.7	6.43	17.49
"PF3D7.0533000"	8.31	5.91	26.02	25.56	2.84	0.83	4.64	7.95	0	1.36	9.59	19.6
"PF3D7.0601200"	22.17	19.43	184.77	194.55	4.55	3.98	64.99	26.58	0	6.55	40.49	58.43
"PF3D7.0602100"	89.42	74.86	82.37	86.57	82.81	97.9	132.55	137.9	40.16	69.82	98.95	144.51
"PF3D7.0602400"	20.8	19	55.68	77.47	18.48	15.02	38.58	35.39	32.58	12.77	36.01	62.9
"PF3D7.0602500"	37.66	35.81	100.87	99.15	21.38	21.19	54.55	46.5	26.62	16.83	55.25	69.51
"PF3D7.0602600"	28.05	27	23.35	24.6	30.52	29.39	38.42	38.08	14.57	27.2	23.36	26.11
"PF3D7.0603200"	20.24	26.47	83.67	72.02	20.57	25.62	31.24	25.29	51.51	24.34	31.43	46.08
"PF3D7.0603300"	46.44	38.01	144.77	136.07	35.68	24.88	115.45	82.86	29.07	48.74	71	106.12
"PF3D7.0603500"	18.17	23.33	22.99	18.79	11.77	22.1	18.32	16.58	49.14	27.49	17.85	20.48
"PF3D7.0603800"	20.58	30.51	10.83	8.9	22.55	31.25	10.18	12.72	77.21	41.81	22.24	10.01
"PF3D7.0604500"	229.98	278.03	236.95	249.99	259.83	294.47	294.01	363.19	174.39	342.7	176.57	266.65
"PF3D7.0604700"	61.13	63.33	84.18	70.88	63.11	68.72	35.66	42.68	104.98	43.33	68.64	66.78
"PF3D7.0605000"	41.79	32.06	120.61	86.5	61.35	42.79	91.96	51.98	75.77	53.52	89.62	99.12
"PF3D7.0605100"	128.48	164.79	188.63	169.61	92.02	138.97	226.17	190.61	173.22	180.88	178.5	248.19
"PF3D7.0605200"	117.8	124.16	113.68	100.54	116.42	140.27	42.95	82.27	181.24	48.26	129	61.22
"PF3D7.0605700"	28.92	50.54	12.22	13.99	46.27	95.34	26.15	22.94	85.88	66.44	48.01	13.77
"PF3D7.0605900"	231.55	349.77	47.63	63.47	144.39	340.84	48.23	179.8	174.13	201.58	156.87	72.39
"PF3D7.0606000"	209.97	211.17	73.32	71.37	183.57	206.49	177.41	209.58	125.49	184.71	111	143.64
"PF3D7.0606100"	251.38	242.73	237.9	243.63	288.47	267.94	321.31	373.77	145.33	234.67	251.29	320.54
"PF3D7.0606200"	212.92	324.74	102.05	94.85	146.65	290.89	89.41	197.22	420.32	209.71	211.21	133.29
"PF3D7.0606500"	192.55	152.62	118.21	117.38	168.26	142.11	162.18	200.53	95.47	119.57	122.56	154.54
"PF3D7.0606600"	48.05	53.05	35.12	36.41	53.63	63.55	45.58	60.32	25.03	50.19	38.84	54.93
"PF3D7.0606900"	66.1	32.6	44.5	43.83	54.66	33.61	85.09	46.95	36.84	81.06	71.05	81.92
"PF3D7.0607000"	740.77	660.34	1034.91	1035.91	537.54	623.87	1255.2	1065.46	409.15	659.65	640.39	988.23
"PF3D7.0608000"	96.01	86.79	111.05	139.25	81.51	83.68	121.86	147.85	67.41	41.63	132.88	144.86
"PF3D7.0608400"	86.03	95.84	104.75	111.77	173.92	190.9	166.18	93.52	195.81	143.61	160.68	129.3
"PF3D7.0608500"	662.43	625.94	1094.74	899.05	654.26	568.75	951.04	720.7	936.38	583.92	888	874.23
"PF3D7.0608600"	26.6	30.6	19.24	29.62	33.96	43.72	33.56	15.97	40.05	21.21	34.06	20.74
"PF3D7.0608800"	239.63	316.18	563.11	603.8	158.15	209.9	372.96	455.69	317.04	92.73	566.91	639.91
"PF3D7.0609100"	257.33	288.48	179.99	204.37	117.02	205.47	228.9	307.23	168.89	120.87	224.89	231.56
"PF3D7.0609700"	126.27	149.72	45.15	54.27	117.26	151.67	81	128.85	108.69	159.12	78.25	80.72
"PF3D7.0609800"	48.58	71.81	22.4	14.24	21.35	42.04	17.44	25.83	64.41	22.15	25.16	18.36
"PF3D7.0610100"	211.6	159.47	264.17	298.3	205.05	194.89	333.21	284.45	139.07	207.05	199.67	298.1
"PF3D7.0610400"	897	2246.35	670.43	1399.3	340.58	1049.81	362.91	873.72	2205.64	466.35	1040.61	677.43
"PF3D7.0610500"	72.98	78.59	88.06	146.5	71.02	42.11	96.82	108.78	30.84	17.37	79.25	139.92
"PF3D7.0610600"	38.26	45.92	105.62	119.49	44.49	63.88	70.59	36.2	74.4	53.51	76.34	82.1
"PF3D7.0610700"	301.14	141.3	330	233.83	255.22	153.43	483.44	422.57	103.31	310.67	150.02	391.82
"PF3D7.0610800"	708.39	693.89	901.59	764	483.4	566.64	831.77	879.62	314.9	449.25	664.3	796.17
"PF3D7.0610900"	64.48	69.14	66.45	80.97	63.92	76.66	76.27	96.12	47.33	86.23	63.16	85.44
"PF3D7.0611100"	60.51	47.28	59.56	43.49	95.42	78.32	11	57.11	222.33	150.79	55.81	33.66
"PF3D7.0611200"	57.01	46.91	134.41	122.15	73.87	73.43	53.71	34.68	69.29	65.08	64.7	62.11
"PF3D7.0611400"	20.92	18.77	15.69	22.11	24.19	21.07	29.27	28.91	20.4	23.57	18.53	21.13
"PF3D7.0611600"	22.82	20.51	8.64	6.96	31.96	23.8	11.89	13.35	85	62.08	19.71	6.96
"PF3D7.0611800"	64.06	66.47	85.34	94.92	90.35	111.44	83.01	78.52	66.58	119	63.87	64.95
"PF3D7.0611900"	132.96	155.16	123.34	116.25	127.96	169.26	131.57	145.15	124.72	71.28	178.77	164
"PF3D7.0612000"	58.77	61.29	59.21	42.28	66.07	46.98	53.38	36.26	150.02	39.13	64.32	32.71
"PF3D7.0612100"	112.73	59.96	105.79	103.4	63.27	44.09	215.83	175.4	52.03	80.22	75	130.87
"PF3D7.0612200"	22.2	47.5	9.83	6.89	38.75	50.94	11.5	19.82	87.97	54.08	21.76	11.4
"PF3D7.0612600"	42.28	61.06	45.48	49.34	51.54	47.12	47.61	56.79	100.96	98.42	69.41	49.39
"PF3D7.0612700"	111.7	132.69	25.07	26.7	138.17	177.01	55.97	79.67	471.54	544.46	87.2	34.25
"PF3D7.0613100"	620.99	440.37	460.02	557.57	447.33	423.6	646.02	648.11	494.44	534.23	585.39	542.62
"PF3D7.0613500"	20.13	26.11	16.1	16.58	29.93	28.75	14.54	18.63	36.02	31.25	20.6	19.4
"PF3D7.0613600"	36.38	38.31	9	10.8	50.43	43.36	17.17	29.06	100.07	187.73	30.33	12.7
"PF3D7.0613700"	29.93	30.95	35.65	44.89	20.58	33.13	36.85	29.01	69.62	35.67	30.71	36.6
"PF3D7.0613900"	84.28	181.11	20.3	26.41	141.44	273.09	37.54	90.72	405.5	866.79	103.45	25.71
"PF3D7.0614300"	259.15	255.9	393.97	277.69	147.21	135.81	317.02	384.71	300.73	200.84	244.84	324.3
"PF3D7.0614400"	95.56	82.1	76.72	67.43	87.61	55.05	146.32	107.24	33.08	87.85	98.83	115.5
"PF3D7.0614500"	3886.15	3120.08	6892.38	6240.87	3651.16	2530.29	7639.45	5090.11	2083.88	3761.32	4284.75	5908.54
"PF3D7.0614700"	26.61	28.3	6.01	4.27	23.01	32.77	9.11	13.35	52.48	49.14	17.88	11.65
"PF3D7.0614800"	68.09	79.88	226.3	208.06	70.6	82.62	131.89	91.1	129.67	94.77	115.43	146.25
"PF3D7.0615000"	153.08	134.72	119.59	103.98	165.67	138.94	225.38	198.06	82.25	112.32	184.75	131.32
"PF3D7.0615100"	33.49	39.8	11.15	6.82	41.41	52.79	16.41	19.4	28.21	20.65	42.03	13.95
"PF3D7.0615400"	148.36	135.95	130.18	163.04	127.41	121.31	174.52	204.68	132.07	148.29	111.43	160.24
"PF3D7.0615600"	33.78	31.91	29.33	27.64	26.61	23.98	32.53	38.68	15.91	29.93	26.83	40.13
"PF3D7.0615700"	346.62	336.22	392.07	356.91	551.95	370.62	521.35	381.73	392.46	294.51	429.37	363.01
"PF3D7.0615900"	16.41	22.67	26.84	31.96	18.39	25.27	12.89	18.9	24.28	16.75	23.68	23.05
"PF3D7.0616000"	42.34	47.45	54.97	52.01	39.81	46.08	56.55	55.44	45.3	28.36	55.77	63.79
"PF3D7.0616100"	40.19	51.5	65.48	58.79	44.27	38.89	76.46	82.61	37.55	42.45	96.13	72.3
"PF3D7.0616200"	56.5	68.79	62.92	59.47	57.71	81.72	46.03	41.02	139.4	88.51	57.91	50.21
"PF3D7.0616900"	21.11	13.49	17.74	24.05	16.1	11.9	19.77	19.63	9.98	12.54	14.74	21.3
"PF3D7.0617100"	46.84	54.87	47.54	50.39	32.91	45.47	46.45	51.34	40.76	35.85	38.02	45.01
"PF3D7.0617200"	771.51	699.13	1013.07	1024.99	820.37	575.01	1280.86	931.9	582.2	920.15	717.25	1004.21
"PF3D7.0617800"	1075.31	1674.62	789.05	1117.59	439.45	802.83	1002.9	1684.56	1459.62	608.28	1240.53	1175.74
"PF3D7.0617900"	1356.83	2136.25	1490.18	1468.91	819.08	1549.83	1257.57	2296.96	2586.22	1550.96	1825.73	1330.4
"PF3D7.0618000"	58.87	63.04	11.37	11.1	89.78	80.22	21.18	35.16	303.87	403.33	52.43	16.8
"PF3D7.0618200"	777.75	485.16	1176.07	919.3	684.91	514.16	1579.43	916.39	412.01	704.01	784.44	908.61
"PF3D7.0618300"	2066.62	1987.42	3086.47	3088.04	1373.29	1272.19	3924.37	2991.09	1278.18	1534.17	2355.91	2683
"PF3D7.0618500"	85.05	119.38	43.95	28.92	120.05	161.81	41.08	68.58	172.89	73.05	119.54	34.86
"PF3D7.0618600"	26.6	27.29	57.48	61.65	27.91	32.51	36.28	18.69	59.09	37.56	34.51	37.6
"PF3D7.0619200"	86.57	91.98	67.36	87.48	88.23	93.97	102.38	132.23	75.32	94.12	54.08	99.93
"PF3D7.0619400"	289.52	306.73	396.73	284.96	258.36	281.64	274.63	337.71	470.95	215.67	352.71	330.71
"PF3D7.0619500"	17.51	10.63	30.1	23.21	17.68	6.14	34.44	22.2	10.25	16.19	15.85	27.68
"PF3D7.0619900"	150.1	107.59	185.8	174.31	151.1	139.28	287.57	188.54	151.92	239.29	174.09	176.79
"PF3D7.0620100"	128.86	156.09	43.37	41.79	181.96	127.3	48.38	59.16	65.19	91.3	117.34	55.14
"PF3D7.0620400"	22.6	27.14	5.46	3.91	19.93	32.09	12.23	18.41	108.84	86.14	25.16	6.73
"PF3D7.0620500"	29.92	26.96	34.51	34.05	33.86	39.93	47.07	38.83	41.05	56.85	26.24	39.92
"PF3D7.0621100"	35.42	66.12	14.98	11.58	54.38	75.75	24.86	26.94	174.27	127.36	37.23	16.69
"PF3D7.0621200"	354.79	405.33	773.67	1100.88	178.94	227.25	942.37	1173.66	118.06	161.14	1000.54	1492.47
"PF3D7.0621300"	34.93	31.95	49.7	53.42	50.75	30.14	85.09	66.26	16.74	43.71	37.41	75.14
"PF3D7.0621700"	7.67	10.94	23.68	23.19	8.88	11.21	20.74	16.7	8.65	7.7	14.61	19.33
"PF3D7.0621800"	2375.85	2223.74	4963.55	4266.97	1423.67	1483.58	4915.35	4126.49	800.99	1462.37	3381.76	4247.37
"PF3D7.0621900"	76.02	74.44	103.27	95.85	64.15	56.46	92.06	117.69	53.12	62.53	68.93	87.75
"PF3D7.0622200"	44.25	43.63	51.12	53.07	40.5	34.03	90.65	83.52	14.84	40.66	47.9	66.93
"PF3D7.0622600"	250.09	136.94	174.91	115.31	306.05	189.08	146.26	124.44	357.66	265.96	238.79	94.76
"PF3D7.0622800"	191.32	139.66	227.83	203.83	158.57	114.18	264.43	236.5	84.57	163.19	148.79	225.98
"PF3D7.0622900"	54.08	44.11	11.77	13.38	57.96	46.58	18.53	27.35	21.26	65.04	20.73	29.81
"PF3D7.0623000"	35.69	25.83	44.26	36.23	31.95	23.24	21.19	22.31	38.36	16.34	36.25	33.53
"PF3D7.0623100"	352.67	434.61	450.1	460.04	204.62	328.61	379.93	508.14	231.19	192.95	348.44	434.2
"PF3D7.0623300"	58.47	84.04	84.94	108.42	54.94	70.87	44.08	45.11	126.1	47.49	82.85	95.64
"PF3D7.0623500"	96.63	116.32	95.26	95.34	106.35	122.63	93.01	101.26	137.67	72.14	119.82	93.98
"PF3D7.0623600"	148.82	160.08	159.43	133.98	94.26	121.33	138.17	184.09	89.72	70.53	133.04	161.27
"PF3D7.0623800"	224.65	220.41	79.5	78.91	197.98	224.09	209.74	346.9	67.77	276.3	122.82	146.81
"PF3D7.0623900"	56.85	74.86	94.08	104.97	82.2	74.75	64.43	56.65	97.5	47.74	103.24	73.93
"PF3D7.0624000"	708.21	604.37	1044.07	820.88	384.29	401.87	820.28	854.55	687.01	416.03	837.28	921.03
"PF3D7.0624100"	36.54	39.01	36.53	21.45	52.58	54.94	22.99	27.24	72.89	33.44	39.23	20.7
"PF3D7.0624200"	53.77	55.86	34.27	30.2	72.67	83.25	32.6	27.11	70	52.35	57.74	35.41
"PF3D7.0624300"	32.15	64.69	14.31	20.96	56.42	106.22	27.12	31.22	50.92	15.07	51.7	14.31
"PF3D7.0624600"	152.51	187.39	186.58	150.29	161.11	189.87	197	267.27	184.28	227.58	138.31	209.09
"PF3D7.0625400"	70.72	52.35	56.25	45.19	54.87	55.76	127.85	87.04	43.48	117.79	59.81	57.86
"PF3D7.0625700"	62.46	32.81	73.26	50.94	26.02	42.54	60.05	51.87	47.91	56.48	55.23	41.27
"PF3D7.0626700"	464.36	345.44	363.77	353.19	374.37	308.83	471.07	492.5	175.02	264.97	354.05	390.37
"PF3D7.0626800"	2812.55	2636.31	4134.78	4013.78	1322.78	1356.4	2671.62	3723.52	1385.22	1200.42	2314.12	3026.82
"PF3D7.0627100"	51.79	62.77	35.45	44.85	51.88	64.37	41.92	53.81	34.5	75.68	45.88	50.99
"PF3D7.0627300"	337.12	317.08	303.51	240.5	306.18	296	392.42	347	384.45	339.83	285.83	306.13
"PF3D7.0627400"	32.53	39.47	42.25	49.41	35.43	20	45.7	26.18	29.2	38.73	18.05	43.17
"PF3D7.0627500"	1535.81	1425.64	1663.99	1664.91	466.71	611.26	1243.21	2179.01	704.68	409.21	1416.04	1824.8
"PF3D7.0627700"	152.92	116.06	100.82	76.81	122.05	120.23	117.02	135.42	102.34	127.69	91.72	117.61
"PF3D7.0627800"	93.53	87.39	92.85	87.01	53.31	62.79	71.19	95.52	80.52	55.67	71.11	72.92
"PF3D7.0627900"	123.49	99.26	124.51	139.65	132.96	93.22	183.35	138.65	91.39	155.72	116.5	182.65
"PF3D7.0628000"	39.31	45.1	153.55	167.96	31.08	30.28	104.51	51.97	50.56	45.37	65.29	110.17
"PF3D7.0628200"	105.3	118.43	78.35	100.27	84.44	112.17	101.9	147.58	93.59	113.47	77.68	113.97
"PF3D7.0628400"	21.47	24.61	9.02	3.23	37.99	29.22	20.22	14.45	28.45	22.11	16.79	10.56
"PF3D7.0628600"	76.37	60.03	94.8	86.23	108.4	66.08	113.05	75.54	48.78	67.28	103.5	94.42
"PF3D7.0628800"	12.86	10.65	47.02	32.33	18.73	18.77	31.02	19.98	26.75	27.93	26.82	38.96
"PF3D7.0629200"	224.33	167.6	465.24	453.29	240.76	183.79	583.13	334.79	276.85	275.64	329.16	463.14
"PF3D7.0629300"	21.46	33.04	7.52	8.13	36.32	38.66	10.95	17.6	71.75	157.85	27.34	9.15
"PF3D7.0629400"	50.95	52.08	192.85	187.47	87.14	103.3	125.59	78.45	101.77	69.69	120.24	159.99
"PF3D7.0629500"	129.15	109.66	208.69	202.92	96.9	100.97	202.1	139.69	97.56	188.84	151.49	174.32
"PF3D7.0629600"	43.42	39.04	59.1	40.33	34.81	39.57	80.05	80.18	45.12	65.07	74.05	67.84
"PF3D7.0629800"	51.5	30.43	34.41	35.87	63.4	39.52	90.61	69.17	28.36	73.05	44.38	50.68
"PF3D7.0630600"	22.05	21.1	20.43	18.95	23.16	22.31	15.08	18.08	49.51	27.81	23.54	22.69
"PF3D7.0630900"	116.76	79.49	136.97	149.39	93.04	98.86	230.82	204.73	55.34	108.26	136	211.67
"PF3D7.0631400"	3.01	3.2	82.97	83.08	2.32	0	28.33	8.11	6.54	57.83	292.28	454.1
"PF3D7.0632400"	4.12	1.55	20.46	20.32	0	0	5.17	5.67	0	1.21	4.28	11.66
"PF3D7.0632700"	2.91	7.78	32	20.01	0.88	2.85	2.75	8.53	3.28	3.64	6.43	18.05
"PF3D7.0632800"	47.05	102.53	8.79	8.88	191.55	278.33	151.07	469.51	8.68	3.3	7.6	6.22
"PF3D7.0700800"	2.65	3.2	42.34	43.52	0	2.61	7.55	6.76	15.96	74.35	245.61	390.45
"PF3D7.0701100"	5.11	12.75	37.39	28.95	0	6.92	6.08	16.64	1.28	8.82	10.07	23.04
"PF3D7.0701600"	23.29	14.08	253.63	203.8	4.74	0	62.79	15.86	0	2.69	55.54	90.34
"PF3D7.0701900"	91.25	139.69	13.32	10.33	113.93	181.81	23.49	69.49	48.32	188.91	51.66	31.97
"PF3D7.0702000"	947.11	1057.44	226.82	174.88	1115.42	1524.06	610.81	739.41	362.25	1134.74	534.59	495.74
"PF3D7.0702100"	91.39	183.71	17.85	21.67	89.93	210.5	37.31	94.12	114.01	255.46	78.45	37.87
"PF3D7.0702200"	215.76	203.3	97.46	82.16	240.77	319.84	313.77	317.95	231.34	751.69	295.56	242.78
"PF3D7.0702300"	255.28	213.81	65.91	64.04	282.04	282.44	213.4	322.11	60.25	262.62	143.33	185.04
"PF3D7.0702500"	372.98	226.16	662.35	553.79	96.73	83.95	1052.04	1339.66	68.28	140.02	948.87	1540.44
"PF3D7.0702900"	244.25	165.55	201.59	179.93	255.24	169.06	338.81	227.1	142.77	188.81	268.87	235.78
"PF3D7.0703200"	18.63	22.97	27.41	23.31	18.72	19.59	20	26.92	44.11	31.38	16.14	20.29
"PF3D7.0703400"	6.6	11.15	24.46	24.09	4.45	5.88	17	7.8	6.39	3.05	10.83	22.65
"PF3D7.0703600"	141.97	186.68	86.5	75.08	194.9	183.5	76.76	74.65	521.03	348.88	140.25	78.65
"PF3D7.0703700"	151.34	135.9	271.13	258.77	125.93	94.61	274.23	205.97	56.11	80.52	168.9	237.03
"PF3D7.0704200"	17.3	12.8	21.79	20.44	18.45	9.35	27.27	25.02	7.57	17.33	16.4	28.16
"PF3D7.0704400"	22.57	25.76	26.51	19.8	29.02	30.97	24.55	22.59	67.39	46.85	20.59	23.28
"PF3D7.0704600"	100.33	124.47	106.11	118.78	91.35	115.19	120.9	187.28	100.66	121.85	91.34	128.62
"PF3D7.0705000"	115.51	105.53	85.57	98.39	93.62	111.93	127.36	135.65	61.9	99.61	72.96	108.18
"PF3D7.0705300"	21.4	29.32	27.33	30.52	32.82	30.12	15.51	14.71	65.3	51.88	31.38	20.58
"PF3D7.0705400"	90.22	138.64	142.23	136.56	109.61	128.21	47.92	62.29	313.21	145.6	105.44	67.86
"PF3D7.0705500"	94.99	91.25	29.15	29.29	99.72	95.39	52.75	76.52	123.8	134.77	51.24	52.66
"PF3D7.0705700"	6394.94	5207.97	8840.75	8867.38	2291.54	2556.81	6626.38	12018.5	2693.69	1416.42	6893.35	7863.56
"PF3D7.0705800"	37.04	61	40.45	56	49.44	93.34	43.3	22.91	38.16	34.05	54.55	32.38
"PF3D7.0705900"	154.31	226.87	175.7	167.94	66.07	124.59	87.26	170.05	223.04	60.09	145.38	106.96
"PF3D7.0706000"	121.87	99.67	106.4	101.77	109.71	92.91	139.84	104.47	69.99	102.84	81.2	93.65
"PF3D7.0706500"	95.72	95.87	90.28	104.54	102.59	93.68	114.7	115.38	41.41	113.35	77.44	101.21
"PF3D7.0707300"	327.48	729.59	79.49	86.91	534.5	784.61	127.05	318.81	2576.97	2358.65	324.65	81.32
"PF3D7.0707400"	67.73	57.41	185.15	184.75	71.41	63.07	190.54	131.17	67.61	80	113.48	183.2
"PF3D7.0707600"	56.7	39.47	36.98	27.04	71.15	60.7	58.37	52.84	42.73	102.51	37.05	47.2
"PF3D7.0707700"	130.87	136.83	98.41	102.79	118.76	148.65	148.41	132.23	144.61	155.61	131.86	125.6
"PF3D7.0707900"	402.2	358.64	626.86	463.99	446.97	466.7	781.03	493.1	228.95	412.87	464.91	559.22
"PF3D7.0708000"	14.41	14.32	21.86	22.11	20.55	24.71	14.77	24.27	25.5	14.34	22.94	25.02
"PF3D7.0708100"	601.38	582.56	668.69	566.19	462.15	734.39	1056.23	773.16	565.87	457.88	856.47	577.65
"PF3D7.0708400"	3641.31	3177.72	8630.71	9094.29	2662.8	2520.37	5613.71	5490.5	1633.24	2035.77	6233.74	9826.34
"PF3D7.0708500"	58.94	55.04	55.22	65.75	52.64	43.35	74.32	87.47	29.52	37.06	60.43	90
"PF3D7.0708800"	751.31	647.49	1138.9	1054.2	618.5	580.85	1255.18	1141.01	382.86	763.09	772.08	1261.84
"PF3D7.0709000"	292.71	219.56	186.06	249.08	126.94	170.81	257.48	210.56	70.89	112.43	182.96	194.22
"PF3D7.0709100"	34.19	52.65	43.38	40.21	41	45.52	22.94	36.58	103.55	36.29	40.59	31.01
"PF3D7.0709200"	32.95	24.71	27.93	23.18	30.05	21.13	20.34	35.62	32.37	37.9	24.23	29.32
"PF3D7.0709500"	46.09	42.78	40.72	59.84	42.66	34.66	43.9	22.24	61.15	54.11	76.29	58.26
"PF3D7.0709600"	30.19	21.42	32	28.07	29.25	21.49	37.37	33.74	11.74	26.81	27.6	36.29
"PF3D7.0709700"	48.3	60.56	23.86	19.4	46.87	42.41	32.46	31.38	87.25	54.76	45.72	35.33
"PF3D7.0709800"	159.1	201.16	99.83	105.09	434.68	241.04	235.48	174.36	206.05	236.45	226.87	138.8
"PF3D7.0710200"	26.62	30.69	32.28	45.78	45.41	41.08	34.1	29.64	59.26	57.07	32.93	29.74
"PF3D7.0710300"	56.56	56.97	202.02	145.45	38.55	33.75	118.92	115.33	75.83	50.24	158.37	173.33
"PF3D7.0710500"	37.29	42.3	58.26	59.4	69.6	40.37	38.24	34.07	38.83	33.19	51.49	39.38
"PF3D7.0710700"	121.23	105.23	111.55	129.98	69.77	88.18	205.34	201.25	45.33	96.44	76.84	150.58
"PF3D7.0710800"	39.31	20.28	36.36	33.48	47.76	22.81	60.56	36.98	27.36	38.83	24.25	37.42
"PF3D7.0710900"	28.54	26.16	29.86	34.7	45.39	34.58	63.91	39.03	18.38	26.65	22.64	45.84
"PF3D7.0711000"	22.88	23.48	53.8	66.45	21.03	21.38	38.06	30.52	26.34	23.16	34.72	48.81
"PF3D7.0711400"	39.49	39.49	70.3	88.98	56.93	47.83	94.15	65.12	43.55	52.22	68.71	68.26
"PF3D7.0711500"	140.57	99.53	286.57	253.18	132.7	102.83	318.72	216.54	129.38	135.72	183.41	272.38
"PF3D7.0713100"	40.58	14.4	105.78	100.23	0	1.35	26.44	13.51	3.99	5.51	19.88	29.8
"PF3D7.0713300"	32.35	24.1	10.38	7.96	8.09	4.03	13.22	4.08	0	1.37	0.71	5.98
"PF3D7.0713400"	47.96	40.28	43.63	27.06	45.13	40.04	40.96	40.44	48.55	63.95	70.65	49.69
"PF3D7.0713700"	166.46	133.28	201.31	180.38	156.11	160.57	251.98	152.52	207.4	157.55	183.06	193.85
"PF3D7.0713800"	31.46	50.26	35.53	44.42	57.27	39.8	42.93	38.6	121.28	136.17	37.09	18.18
"PF3D7.0713900"	37.25	30.44	56.54	37.77	33.17	27.11	60.19	65.27	18.9	43.08	31.87	61.28
"PF3D7.0714000"	2625.21	3422.19	1919.12	1849.44	2001.66	2905.44	1873.58	2617.59	8486.02	4574.04	2658.35	1908.88
"PF3D7.0714200"	25.05	18.93	25.29	22.61	34.33	29.16	29.38	29.2	44.39	55.24	20.63	29.74
"PF3D7.0714300"	28.89	23.8	26.98	22.59	31.82	26.34	34.59	29.03	20.54	26.59	28.38	33.82
"PF3D7.0714400"	18.44	12.38	43.62	40.92	26.36	24.81	41.72	18.97	19.22	15.54	23.91	31.63
"PF3D7.0714600"	88.37	66.48	88.08	90.26	64.4	75.13	114.78	89.84	58.78	82.46	84.89	96.4
"PF3D7.0715000"	76.95	57.93	97.87	96.1	62.75	58.63	132.33	83.65	46.04	62.78	97.9	106.4
"PF3D7.0715100"	42.84	46.24	20.2	8.3	37.32	62.8	32.8	8.58	45.85	18.44	31.92	19.19
"PF3D7.0715200"	29.44	36.76	12.12	11.81	49.08	57.16	14.74	19.24	43.62	39.11	29.45	10.52
"PF3D7.0715400"	17.73	22.3	33.37	44.47	41.58	67.23	26.34	8.69	45.61	32.53	50.16	27.31
"PF3D7.0715600"	31.56	38.58	90.25	78.43	47.81	40.51	34.83	26.9	87.96	43.39	51.35	48.35
"PF3D7.0715900"	43.91	48.99	73.16	70.71	39.05	42.06	25.95	25.59	121.03	38.04	41.3	29.49
"PF3D7.0716000"	117.4	142.07	90.94	126.25	123.57	142.82	107.49	160.52	59.34	84.97	98.12	129.28
"PF3D7.0716100"	82.6	64.36	99.65	118.24	78.35	70.22	129.31	116.38	22.52	56.93	66.14	100.36
"PF3D7.0716300"	163.33	188.72	484.99	395.2	212.07	170.39	343.32	238.18	555.71	301.55	280.52	315.12
"PF3D7.0716400"	301.37	395.49	183.51	133.35	414.29	402.6	167.2	208.16	303.77	171.34	281.27	206.2
"PF3D7.0716800"	751.43	675.51	1204.34	1134.72	391.05	472.57	992.13	1003.57	353.82	325.3	829.55	982.79
